id,command,summary,posix_reference,implementation,test,status
POSIX-HEAD-COUNT-001,head,support separate and compact -n line counts including zero,POSIX.1-2024 head,Posix_Tools.Commands.Head,command:head counts; regression REG-HEAD-0001,Partially conforming
POSIX-HEAD-COUNT-ERROR-001,head,reject invalid negative leading-plus and overflow line counts as usage errors,POSIX.1-2024 head,Posix_Tools.Commands.Head,command:head invalid count; regression REG-HEAD-0002,Partially conforming
POSIX-HEAD-MISSING-COUNT-001,head,reject -n without a required count before any file processing,POSIX.1-2024 head,Posix_Tools.Commands.Head,command:head invalid count; regression REG-HEAD-0004,Partially conforming
POSIX-HEAD-PARTIAL-001,head,preserve a final partial line without appending LF,POSIX.1-2024 head,Posix_Tools.Streams.Lines,streams:lf segment splitting; regression REG-STREAMS-0001,Partially conforming
POSIX-HEAD-HEADERS-001,head,render deterministic multi-file headers and blank separators,POSIX.1-2024 head,Posix_Tools.Commands.Head,command:head multiple file headers,Partially conforming
POSIX-HEAD-STDIN-001,head,treat operand dash as standard input without byte translation,POSIX.1-2024 head,Posix_Tools.Commands.File_Helpers,command:head standard input,Partially conforming
POSIX-TAIL-DEFAULT-001,tail,default to ten lines from end,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail line mode edges,Partially conforming
POSIX-TAIL-BYTES-001,tail,support -c count from end for files and standard input,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail byte mode edges; regression REG-TAIL-0001,Partially conforming
POSIX-TAIL-COMPACT-001,tail,support compact -nN and -cN count operands,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail compact counts; regression REG-TAIL-0002,Partially conforming
POSIX-TAIL-ORIGIN-001,tail,preserve plus-prefixed counts as from-start requests,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail plus origin; regression REG-TAIL-0002,Partially conforming
POSIX-TAIL-COUNT-ERROR-001,tail,reject invalid negative lone-plus and overflow counts as usage errors,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail invalid count; regression REG-TAIL-0003,Partially conforming
POSIX-TAIL-MISSING-COUNT-001,tail,reject -n and -c without a required count before any file processing,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail invalid count; regression REG-TAIL-0005,Partially conforming
POSIX-TAIL-LINE-EDGES-001,tail,handle zero count count larger than input and final partial line in line mode,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail line mode edges,Partially conforming
POSIX-TAIL-PARTIAL-001,tail,preserve a final partial line without appending LF,POSIX.1-2024 tail,Posix_Tools.Streams.Lines,streams:lf segment splitting; command:tail line mode edges; regression REG-STREAMS-0001,Partially conforming
POSIX-TAIL-HEADERS-001,tail,render deterministic multi-file headers and blank separators,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,command:tail multiple file headers,Partially conforming
POSIX-TAIL-STDIN-001,tail,treat operand dash as standard input without byte translation,POSIX.1-2024 tail,Posix_Tools.Commands.File_Helpers,command:tail standard input,Partially conforming
TAIL-RESOURCE-001,tail,spill byte and line suffix data above the V1 16 MiB in-memory threshold to host-backed temporary storage using hostkit descriptors up to the 1 GiB spill limit and fail without partial suffix output when the limit is exceeded,Project tail resource policy,Posix_Tools.Commands.Tail; Posix_Tools.Host_Adapters.Temporary_Storage; Posix_Tools.Commands.File_Helpers,command:tail byte mode edges; command:tail line mode edges; command:tail standard input; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
TAIL-FOLLOW-001,tail,tail follow mode is omitted from V1 and remains a documented deviation,POSIX.1-2024 tail,Posix_Tools.Commands.Tail,docs/commands/tail.md,Known deviation
POSIX-PWD-MODE-001,pwd,support -L and -P,POSIX.1-2024 pwd,Posix_Tools.Commands.Pwd,command:pwd options,Partially conforming
POSIX-PWD-PRECEDENCE-001,pwd,use the last applicable -L or -P option,POSIX.1-2024 pwd,Posix_Tools.Commands.Pwd,command:pwd options; command:pwd context fallbacks,Partially conforming
CONTEXT-PWD-001,pwd,obtain PWD and physical current directory through command context primitives and reject empty relative stale dot-component and dot-dot-component logical PWD values,Project command context policy,Posix_Tools.Commands.Contexts; Posix_Tools.Commands.Pwd,command:pwd options; command:pwd context fallbacks,Partially conforming
CONTEXT-PWD-ERROR-001,pwd,report current-directory lookup failure through an explicit context try-result instead of a broad command-body exception handler,Project exception and command context policy,Posix_Tools.Commands.Contexts; Posix_Tools.Commands.Pwd,locale:diagnostic; command:pwd context fallbacks,Conforming with extensions
CONTEXT-STDIN-001,cat head tail wc,read process standard input through command context primitive instead of command algorithm globals,Project command context policy,Posix_Tools.Commands.Contexts; Posix_Tools.Commands.File_Helpers,command:cat standard input; command:head standard input; command:tail standard input; command:wc standard input; regression REG-STDIN-0001,Partially conforming
CONTEXT-STDIN-ERROR-001,cat head tail wc,report standard-input read failure through an explicit context try-read result instead of command-helper broad exception handling,Project stream and exception policy,Posix_Tools.Commands.Contexts; Posix_Tools.Commands.File_Helpers,command:cat standard input; command:head standard input; command:tail standard input; command:wc standard input,Conforming with extensions
CONTEXT-STDOUT-FAIL-001,cat head tail wc,propagate standard-output failure through command context status without reporting it as an input failure,Project stream and diagnostics policy,Posix_Tools.Commands.Contexts; Posix_Tools.Commands.File_Helpers,command:cat output failure; command:head output failure; command:tail output failure; command:wc output failure; regression REG-CAT-0003; regression REG-HEAD-0003; regression REG-TAIL-0004; regression REG-WC-0005,Partially conforming
CONTEXT-STDOUT-FAIL-002,basename dirname echo pwd,return operational failure when required command-data output cannot be written,Project stream and diagnostics policy,Posix_Tools.Commands.Contexts,command:simple output failures; regression REG-STDOUT-0001,Partially conforming
CONTEXT-CHUNK-ITERATION-001,tail wc,read file and standard-input byte chunks through shared file helpers instead of direct command-body stream I/O,Project host adapter boundary policy,Posix_Tools.Commands.File_Helpers; Posix_Tools.Commands.Tail; Posix_Tools.Commands.Wc,command:tail byte mode edges; command:wc default and mixed text; posix_tools_tests check,Partially conforming
HOST-ADAPTER-FILE-001,cat head tail wc,route file operand open read and close operations used by shared file helpers through the project filesystem host adapter backed by hostkit descriptors,Project hostkit and file operand policy,Posix_Tools.Host_Adapters.File_System; Posix_Tools.Commands.File_Helpers,command:cat files; command:head counts; command:tail line mode edges; command:wc multiple files; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
STATE-HEAD-001,head,keep per-run head line prefix state local to helper calls instead of package-level mutable command state,Project Ada coding and command context policy,Posix_Tools.Commands.Head; Posix_Tools.Commands.File_Helpers,command:head counts; command:head output failure,Partially conforming
STATE-TAIL-001,tail,keep per-run tail line suffix and from-start state local to helper calls instead of package-level mutable command state,Project Ada coding and command context policy,Posix_Tools.Commands.Tail; Posix_Tools.Commands.File_Helpers,command:tail line mode edges; command:tail plus origin; command:tail output failure,Partially conforming
COMMON-NUMBERS-001,common,parse nonnegative counts with explicit empty invalid negative and overflow statuses,Project numeric parsing policy,Posix_Tools.Numbers,basic:numbers,Partially conforming
COMMON-OPTIONS-001,common,parse POSIX-style short options grouped options required arguments end-of-options marker operands and usage errors,Project argument parsing policy,Posix_Tools.Arguments.Parsing,basic:option parsing,Partially conforming
POSIX-END-OPTIONS-001,basename cat dirname head pwd tail wc,honor -- end-of-options markers without treating them as command data or file operands in conventional commands,POSIX.1-2024 utility syntax guidelines,Posix_Tools.Commands.Basename; Posix_Tools.Commands.Cat; Posix_Tools.Commands.Dirname; Posix_Tools.Commands.Head; Posix_Tools.Commands.Pwd; Posix_Tools.Commands.Tail; Posix_Tools.Commands.Wc,command:end-of-options; regression REG-OPTIONS-0001,Partially conforming
POSIX-WC-COUNTS-001,wc,count lines words and bytes in the default output order,POSIX.1-2024 wc,Posix_Tools.Commands.Wc,command:wc default and mixed text,Partially conforming
POSIX-WC-BYTES-001,wc,count bytes without text translation,POSIX.1-2024 wc,Posix_Tools.Streams.Counting,streams:byte counting; regression REG-WC-0001,Partially conforming
POSIX-WC-LINES-001,wc,count LF bytes as lines,POSIX.1-2024 wc,Posix_Tools.Streams.Counting,streams:byte counting,Partially conforming
POSIX-WC-TOTAL-001,wc,print one line per successful file and a total line for multiple operands including after recoverable input failures,POSIX.1-2024 wc,Posix_Tools.Commands.Wc,command:wc multiple files; regression REG-WC-0006,Partially conforming
POSIX-WC-STDIN-001,wc,count standard input when no file operands are supplied,POSIX.1-2024 wc,Posix_Tools.Commands.Wc,command:wc standard input,Partially conforming
POSIX-WC-CHARS-001,wc,count valid UTF-8 characters for -m,POSIX.1-2024 wc,Posix_Tools.Streams.Counting,streams:utf-8 counting; command:wc text counts; regression REG-WC-0002,Partially conforming
POSIX-WC-UTF8-001,wc,reject invalid UTF-8 for default and explicit text-counting modes while allowing raw byte and line modes and suppressing mixed partial records,POSIX.1-2024 wc,Posix_Tools.Commands.Wc,command:wc invalid UTF-8; command:wc default and mixed text,Partially conforming
POSIX-WC-MALFORMED-UTF8-001,wc,reject malformed UTF-8 sequences including overlong continuation surrogate and out-of-range code point encodings in character and word modes without partial output,POSIX.1-2024 wc,Posix_Tools.Streams.Counting,command:wc malformed UTF-8; regression REG-WC-0003,Partially conforming
NONPOSIX-WC-LINE-LENGTH-001,wc,record GNU -L maximum-line-length mode as an unsupported non-POSIX extension and return invalid usage,Project extension policy and POSIX.1-2024 wc option set,Posix_Tools.Commands.Wc,command:wc default and mixed text; regression REG-WC-0007,Conforming with extensions
TEXT-UTF8-001,wc,keep incremental UTF-8 decoder state isolated from wc counting and reject overlong surrogate out-of-range and incomplete sequences,Project UTF-8 text policy,Posix_Tools.Text.UTF_8; Posix_Tools.Streams.Counting,streams:utf-8 counting; command:wc malformed UTF-8; regression REG-WC-0004,Partially conforming
TEXT-WHITESPACE-001,wc,keep Unicode whitespace classification isolated behind generated versioned property data with recorded Unicode source and license metadata,Project Unicode text policy,Posix_Tools.Text.Classification; Posix_Tools.Text.Whitespace_Data; Posix_Tools.Streams.Counting,streams:utf-8 counting; command:wc text counts,Partially conforming
ROOT-LIST-001,posix-tools,list compiled command inventory deterministically,Project root command,Posix_Tools.Commands.Root,command:root list,Conforming with extensions
ROOT-PATHS-001,posix-tools,report executable resolution status for every compiled command,Project root command,Posix_Tools.Commands.Root,command:root paths,Conforming with extensions
ROOT-VERIFY-001,posix-tools,verify every compiled command and report a classification line,Project root command,Posix_Tools.Commands.Root,command:root verify; regression REG-ROOT-0001,Conforming with extensions
ROOT-VERIFY-SHADOWED-001,posix-tools,report shadowed when a valid same-directory project command is hidden by a different executable resolved earlier on PATH,Project safe verification policy,Posix_Tools.Host_Adapters.Executables; Posix_Tools.Commands.Root,posix_tools_tests release-check,Partially conforming
ROOT-VERSION-001,posix-tools,render synchronized root version through both version subcommand and --version extension,Project root command,Posix_Tools.Commands.Root,command:root version and help,Conforming with extensions
ROOT-HELP-001,posix-tools,render root help when invoked without operands and render executable --help,Project root command,Posix_Tools.Commands.Root,command:root version and help,Conforming with extensions
ROOT-HELP-METADATA-001,posix-tools,render posix-tools help command output from the same command help metadata used by command --help,Project root command and help policy,Posix_Tools.Commands.Root; Posix_Tools.Help,command:root command help uses command metadata,Partially conforming
ROOT-LOCALE-001,posix-tools,render root help headings human status labels and root usage diagnostics through messages-backed localization,Project root command,Posix_Tools.Commands.Root; Posix_Tools.Commands.Helpers,locale:root help,Conforming with extensions
ROOT-STDOUT-FAIL-001,posix-tools,return operational failure when root command output cannot be written,Project stream and root command policy,Posix_Tools.Commands.Root,command:root output failure; regression REG-ROOT-0002,Partially conforming
ROOT-VERIFY-BOUNDED-001,posix-tools,capture identity subprocess output through bounded files and reject excessive or malformed output,Project safe verification policy,Posix_Tools.Host_Adapters.Executables,command:root verify; posix_tools_tests release-check,Partially conforming
ROOT-USAGE-001,posix-tools,reject unknown subcommands and extra operands as usage errors,Project root command,Posix_Tools.Commands.Root,command:usage errors; command:root usage edges,Conforming with extensions
ROOT-HELP-TOPIC-001,posix-tools,render help only for compiled inventory commands and reject unknown help topics,Project root command,Posix_Tools.Commands.Root,command:root usage edges,Conforming with extensions
HELP-OUTPUT-001,all,render help output with explicit LF on standard output,Project help extension,Posix_Tools.Help,command:help and version,Conforming with extensions
HELP-LOCALE-001,all,render common help headings and option descriptions through messages-backed localization with locale fallback,Project localization policy,Posix_Tools.Localization; Posix_Tools.Help,locale:help,Partially conforming
DIAGNOSTIC-LOCALE-001,all,render selected structured usage boundary and operational diagnostics including extra operands missing option arguments unknown options invalid operands unknown commands invalid counts read failures current-directory failures resource failures invalid UTF-8 and internal failures through messages-backed localization while preserving command names and subjects,Project localization and diagnostics policy,Posix_Tools.Localization; Posix_Tools.Commands.Helpers; Posix_Tools.Host_Adapters.Run_Command,locale:diagnostic,Partially conforming
EXCEPTION-LOCALIZATION-001,all,avoid silent broad exception fallback in the localization adapter so unexpected message runtime defects are handled by the command execution boundary,Project exception policy,Posix_Tools.Localization; Posix_Tools.Host_Adapters.Run_Command,posix_tools_tests check,Conforming with extensions
EXCEPTION-NO-SILENT-001,repository,reject Ada source patterns that silently discard broad exception handlers,Project exception policy,tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
PRESENTATION-STYLES-001,help root,confine terminal_styles use to the project presentation adapter for help and root headings with automatic always and never modes,Project terminal_styles policy,Posix_Tools.Presentation,presentation:styling; posix_tools_tests check,Partially conforming
HOST-ADAPTER-TERMINAL-001,help root,obtain production standard-output terminal status through a project host adapter backed by hostkit,Project hostkit and terminal_styles policy,Posix_Tools.Host_Adapters.Terminals; Posix_Tools.Commands.Contexts,presentation:styling; posix_tools_tests check,Partially conforming
HOST-ADAPTER-CONTEXT-001,all,route production environment current-directory and standard-stream access from command contexts through project host adapter packages instead of direct host package imports in the context body,Project hostkit and command context policy,Posix_Tools.Host_Adapters.Environment; Posix_Tools.Host_Adapters.File_System; Posix_Tools.Host_Adapters.Streams,posix_tools_tests check; posix_tools_tests release-check,Partially conforming
HOST-ADAPTER-ARGS-001,all,capture Ada.Command_Line arguments only in the host adapter command execution boundary while keeping the shared argument vector package free of process global reads,Project argument and host adapter policy,Posix_Tools.Host_Adapters.Arguments; Posix_Tools.Arguments,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
VERSION-OUTPUT-001,all,render synchronized version output with explicit LF,Project version extension,Posix_Tools.Help,command:help and version; command:root version and help,Conforming with extensions
IDENTITY-OUTPUT-001,all,render stable internal identity output with explicit LF for every V1 command and the root executable,Project identity extension,Posix_Tools.Help,command:identity; command:root version and help,Conforming with extensions
WRAPPER-NAMING-001,posix-tools true false,map POSIX executable filenames that are not legal or unambiguous Ada unit names through explicit GPR naming declarations while keeping thin wrapper source files at the required command paths,Project binary subcrate and build policy,posix_tools.gpr; posix_tools_true.gpr; posix_tools_false.gpr,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
BINARY-SUBCRATE-001,commands,require the root crate and every command subcrate manifest and GPR to declare exactly the expected executable main for the compiled inventory,Project binary subcrate and repository model policy,alire.toml; posix_tools.gpr; tools/*/alire.toml; generated/command_inventory.csv; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
HOST-ADAPTER-EXEC-001,posix-tools,perform executable lookup and identity verification through project host adapter,Project hostkit policy,Posix_Tools.Host_Adapters.Executables,posix-tools verify smoke; command:root list,Partially conforming
PLATFORM-CI-001,repository,validate the current release gate on Linux Windows and macOS CI runners without upgrading commands that still have conformance registry gaps,Project supported-platform policy,.github/workflows/ci.yml; docs/conformance.md,CI release check,Partially conforming
CI-WORKFLOW-GATE-001,repository,metadata-check that GitHub Actions keeps push pull_request and manual triggers read-only contents permission non-fail-fast Linux Windows macOS matrix Alire setup tests-crate build and Ada release-check invocation,Project release gate policy,.github/workflows/ci.yml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
PORTABILITY-WINDOWS-001,repository,document and metadata-check the Windows POSIX-semantic policy for option markers slash path separators LF line delimiters executable suffixes binary byte mode and backslash handling,Project supported-platform policy,docs/portability.md; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
MANIFEST-GRAPH-001,repository,keep root crate dependent only on posix_tools_common for production external services,Project dependency policy,alire.toml,posix_tools_tests check,Conforming with extensions
MANIFEST-GRAPH-002,repository,validate required and prohibited Alire dependency edges for common tests and command crates,Project dependency policy,tests/src/posix_tools_tests.adb,posix_tools_tests check,Conforming with extensions
MANIFEST-GRAPH-003,repository,keep i18n as a transitive messages dependency rather than a direct posix_tools_common dependency,Project dependency policy,common/alire.toml; common/posix_tools_common.gpr; tests/src/posix_tools_tests.adb,posix_tools_tests check,Conforming with extensions
MANIFEST-GRAPH-004,repository,forbid the root crate and every command binary subcrate from depending on any command binary crate,Project dependency policy,alire.toml; tools/*/alire.toml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
MANIFEST-GRAPH-005,repository,keep the tests crate limited to posix_tools_common aunit and project_tools without root command hostkit messages or terminal_styles dependencies,Project dependency policy,tests/alire.toml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
MANIFEST-CRATE-METADATA-001,repository,require root common and tests crate manifests to carry synchronized version MIT license maintainer project-file and build-profile metadata,Project crate identity policy,alire.toml; common/alire.toml; tests/alire.toml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
LOCAL-PINS-001,repository,require local Alire pins for root common command and tests crates during repository development,Project repository model and Alire local pin policy,alire.toml; common/alire.toml; tests/alire.toml; tools/*/alire.toml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
WRAPPER-THIN-001,commands,keep every command executable main as a thin common-runner instantiation,Project binary subcrate rule,tools/*/src/*.adb,posix_tools_tests check,Conforming with extensions
IMPORT-RULES-001,commands,forbid command implementation packages from importing hostkit messages terminal_styles AUnit or project_tools directly,Project dependency policy,tests/src/posix_tools_tests.adb,posix_tools_tests check,Conforming with extensions
PACKAGE-MANIFEST-001,repository,generate deterministic release package manifest with synchronized version header byte counts and FNV-1a checksums from Ada tooling and validate the current generated manifest during metadata checks,Project release tooling,tests/src/posix_tools_tests.adb; generated/package-manifest.txt,posix_tools_tests package; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
DOCS-MANPAGES-001,repository,generate deterministic per-command and root executable manual page artifacts from command inventory metadata through Ada project tooling validate them byte-for-byte and include every generated manual page in release package manifests,Project documentation and release tooling policy,tests/src/posix_tools_tests.adb; generated/man/*.1,posix_tools_tests docs; posix_tools_tests package; posix_tools_tests release-check,Conforming with extensions
DOCS-MANPAGES-CURRENT-001,repository,compare generated manual index and every generated manual page against compiled Ada command inventory metadata during metadata validation with deterministic line-ending normalization,Project documentation and release tooling policy,tests/src/posix_tools_tests.adb; generated/manual-index.md; generated/man/*.1,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
DOCS-COMMAND-SECTIONS-001,repository,require every per-command reference document and root executable reference to contain the V1 command reference section set during metadata validation,Project documentation policy,docs/commands/*.md; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
PACKAGE-CATALOG-001,repository,require the release message catalog file selected release identifiers and package-manifest entry during metadata validation and include the catalog through generated package manifests,Project release tooling,tests/src/posix_tools_tests.adb,posix_tools_tests package; locale:help; posix_tools_tests release-check,Conforming with extensions
PACKAGE-INVENTORY-COMPLETE-001,repository,validate that generated package manifests include every command manifest project file wrapper source reference document and generated manual page from the compiled Ada command inventory,Project release tooling and command inventory policy,tests/src/posix_tools_tests.adb; generated/package-manifest.txt,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
PACKAGE-MANIFEST-COVERAGE-001,repository,validate that every Ada-generated package file-list entry has exactly one matching checksum row in the package manifest and that the manifest has no extra data rows beyond its header,Project release tooling,tests/src/posix_tools_tests.adb; generated/package-files.txt; generated/package-manifest.txt,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
RELEASE-CHECKSUMS-001,repository,generate deterministic release checksum records for the package manifest source archive root executable and every command executable through Ada tooling and validate exact inventory coverage plus current FNV-1a values when artifacts exist,Project release tooling,tests/src/posix_tools_tests.adb; generated/release-checksums.txt,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
RELEASE-ARCHIVE-001,repository,generate a versioned source release archive from the Ada-generated package file list through the Ada project_tools release gate and record its checksum,Project release tooling,tests/src/posix_tools_tests.adb; generated/package-files.txt,posix_tools_tests release-check; posix_tools_tests release,Conforming with extensions
TOOLING-BUILD-001,repository,build common crate root crate every command subcrate from the compiled inventory and tests crate through Ada project_tools driver with metadata assertions for the inventory-driven build loop,Project tooling policy,tests/src/posix_tools_tests.adb,posix_tools_tests build; posix_tools_tests release-check,Conforming with extensions
MANIFEST-COMMAND-001,commands,require each command subcrate manifest to carry synchronized version MIT license maintainer metadata local common dependency pin and coordinated build profile metadata,Project crate identity and dependency policy,tools/*/alire.toml; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Partially conforming
GPR-DIRS-001,repository,require root common tests and every command project file to use crate-local object directories and crate-local executable or library output directories during metadata validation,Project repository model and build policy,posix_tools.gpr; common/posix_tools_common.gpr; tests/posix_tools_tests.gpr; generated/command_inventory.csv; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
RELEASE-CLEAN-TREE-001,repository,require the release command to fail before release work when git reports tracked or untracked source-tree changes,Project release gate,tests/src/posix_tools_tests.adb; docs/release-process.md,posix_tools_tests release,Partially conforming
TOOLING-RELEASE-CHECK-001,repository,regenerate current generated artifacts validate metadata and run AUnit release-check gate,Project release gate,tests/src/posix_tools_tests.adb,posix_tools_tests release-check,Partially conforming
TOOLING-RELEASE-001,repository,run current release gates through Ada project_tools release command,Project release tooling,tests/src/posix_tools_tests.adb,posix_tools_tests release,Partially conforming
STAGED-VERIFY-001,repository,verify exact built command executables through bounded identity invocation during release gates,Project release gate,tests/src/posix_tools_tests.adb,posix_tools_tests release-check,Partially conforming
STAGED-VERIFY-ROOT-001,repository,verify the built root posix-tools executable through the same bounded identity invocation used for staged command executables during release gates,Project release gate,tests/src/posix_tools_tests.adb,posix_tools_tests release-check; posix_tools_tests release,Conforming with extensions
INTEGRATION-EXECUTABLE-SMOKE-001,repository,run the exact built root and command executables during release gates to validate version output and a representative command data path without shell dispatch,Project integration test and release gate policy,tests/src/posix_tools_tests.adb,posix_tools_tests release-check; posix_tools_tests release,Conforming with extensions
TOOLING-CONFORMANCE-001,repository,validate requirement row structure identifier syntax unique identifiers linked tests status vocabulary POSIX.1-2024 baseline documentation known-deviation documentation identifier cross-links and released-command coverage through Ada tooling,Project conformance tooling,tests/src/posix_tools_tests.adb,posix_tools_tests conformance; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
CONFORMANCE-IMPLEMENTATION-REFS-001,repository,validate requirement implementation references against existing Ada source units generated Ada units project files documentation paths and explicitly supported repository glob references,Project conformance tooling,tests/src/posix_tools_tests.adb; generated/requirements.csv,posix_tools_tests conformance; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
CONFORMANCE-TEST-REFS-001,repository,validate requirement test references against existing AUnit routine names regression records documentation paths and explicitly supported Ada tooling or CI validation artifacts,Project conformance tooling,tests/src/posix_tools_tests.adb; generated/requirements.csv,posix_tools_tests conformance; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
REGRESSION-METADATA-001,repository,validate regression registry shape identifier syntax unique identifiers command and summary fields linked AUnit or explicit validation artifact references and bidirectional requirement references through Ada conformance tooling,Project regression tooling,tests/src/posix_tools_tests.adb; generated/regressions.csv,posix_tools_tests conformance; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
TOOLING-FORMAT-001,repository,scan maintained text sources for tabs trailing whitespace and multiple consecutive blank lines through Ada tooling and metadata-check the scanner predicates plus documentation,Project formatting policy,tests/src/posix_tools_tests.adb; docs/testing.md,posix_tools_tests format-check; posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
TOOLING-ADA-ONLY-001,repository,reject non-Ada project tooling files such as shell Python JavaScript Make CMake PowerShell and batch scripts during metadata validation,Project tooling policy,tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
VERSION-SYNC-001,repository,validate exact synchronized semantic version lines across root common tests command manifests generated artifacts changelog and compiled version metadata,Project identity policy,tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
VERSION-GENERATION-001,repository,generate documentation package manifest and release checksum version headers from Posix_Tools.Version.Version_String and validate them as exact current lines,Project identity policy,tests/src/posix_tools_tests.adb,posix_tools_tests package; posix_tools_tests release-check,Conforming with extensions
INVENTORY-CURRENT-001,repository,compare the generated command inventory CSV byte-for-byte against the compiled Ada command inventory during metadata validation,Project command inventory policy,Posix_Tools.Command_Inventory; generated/command_inventory.csv; tests/src/posix_tools_tests.adb,posix_tools_tests check; posix_tools_tests release-check,Conforming with extensions
